,train,val,test
0,h0001,h3288,h1868
1,h0003,h4179,h1966
2,h0004,h4829,h3436
3,h0005,h0733,h4191
4,h0006,h2117,h0417
5,h0008,h0096,h4794
6,h0009,h1567,h3729
7,h0010,h4789,h1703
8,h0012,h4254,h0321
9,h0013,h2519,h3148
10,h0016,h1236,h3614
11,h0017,h4727,h4905
12,h0018,h4229,h3233
13,h0019,h4775,h2257
14,h0020,h1826,h3219
15,h0021,h2797,h1928
16,h0022,h0971,h1701
17,h0023,h1370,h3259
18,h0025,h1883,h4745
19,h0026,h1494,h4024
20,h0027,h0209,h4566
21,h0028,h0165,h1104
22,h0030,h0536,h4996
23,h0031,h3840,h4326
24,h0032,h3835,h0972
25,h0033,h1554,h1389
26,h0034,h0576,h3157
27,h0035,h4676,h1650
28,h0036,h4797,h4449
29,h0038,h0920,h3332
30,h0039,h2534,h3467
31,h0040,h2474,h0337
32,h0041,h4015,h1935
33,h0042,h2538,h2492
34,h0043,h0626,h3916
35,h0044,h0866,h2168
36,h0045,h2687,h4989
37,h0046,h0965,h2242
38,h0048,h4379,h4943
39,h0049,h1072,h0360
40,h0050,h4124,h2496
41,h0051,h3182,h4725
42,h0053,h1158,h2590
43,h0054,h3942,h3146
44,h0056,h1816,h3643
45,h0057,h4080,h2992
46,h0060,h0391,h4611
47,h0061,h2254,h4831
48,h0062,h4136,h3542
49,h0063,h3581,h2296
50,h0064,h0448,h0547
51,h0066,h4777,h1884
52,h0067,h2614,h2916
53,h0069,h1145,h2271
54,h0070,h2007,h2573
55,h0071,h1553,h0926
56,h0072,h1864,h4307
57,h0073,h4100,h2282
58,h0074,h2890,h3441
59,h0075,h1894,h2823
60,h0076,h0463,h2104
61,h0078,h3416,h2057
62,h0080,h0132,h2091
63,h0081,h2394,h2261
64,h0083,h1011,h0418
65,h0084,h2582,h1211
66,h0085,h4760,h1122
67,h0087,h3911,h0390
68,h0088,h3070,h2749
69,h0090,h3853,h4973
70,h0091,h4158,h2900
71,h0093,h0179,h1152
72,h0094,h4844,h3763
73,h0095,h0082,h4660
74,h0097,h3013,h0055
75,h0098,h0394,h2471
76,h0100,h4691,h4061
77,h0101,h3336,h0969
78,h0102,h1408,h3420
79,h0103,h3876,h3101
80,h0104,h2206,h1572
81,h0105,h1371,h3879
82,h0107,h1991,h2391
83,h0108,h1496,h3224
84,h0111,h1450,h2084
85,h0112,h2446,h4855
86,h0113,h2920,h4180
87,h0114,h3251,h0079
88,h0115,h1764,h0882
89,h0116,h1246,h1083
90,h0117,h0647,h4568
91,h0118,h0172,h4155
92,h0119,h1355,h1489
93,h0120,h4348,h1235
94,h0121,h2083,h2220
95,h0122,h1978,h4983
96,h0123,h1699,h3862
97,h0124,h3066,h2119
98,h0125,h0568,h3480
99,h0126,h2228,h4653
100,h0127,tb0305,tb0021
101,h0129,tb0644,tb0075
102,h0131,tb0348,tb0865
103,h0133,tb1084,tb1197
104,h0134,tb0138,tb0129
105,h0135,tb0823,tb1183
106,h0137,tb0253,tb0798
107,h0138,tb0063,tb0493
108,h0140,tb0236,tb0914
109,h0141,tb0995,tb0425
110,h0142,tb0469,tb0433
111,h0143,tb0898,tb0455
112,h0144,tb0609,tb0550
113,h0145,tb0478,tb0374
114,h0146,tb0684,tb0487
115,h0147,tb0507,tb0114
116,h0149,tb1079,tb0654
117,h0150,tb0806,tb1131
118,h0152,tb0393,tb0030
119,h0153,tb0621,tb0042
120,h0154,tb0686,tb0140
121,h0155,tb0223,tb0318
122,h0156,tb0309,tb0361
123,h0157,tb0150,tb0717
124,h0158,tb0964,tb0089
125,h0159,tb0620,tb0965
126,h0160,tb0954,tb0206
127,h0161,tb0640,tb0506
128,h0163,tb0814,tb0864
129,h0164,tb0796,tb0953
130,h0166,tb0004,tb0033
131,h0167,tb1163,tb0762
132,h0168,tb0248,tb1017
133,h0169,tb1044,tb0824
134,h0170,tb0867,tb0066
135,h0171,tb0175,tb0767
136,h0174,tb1022,tb0088
137,h0176,tb1065,tb0592
138,h0178,tb0724,tb0577
139,h0180,tb0875,tb1148
140,h0181,tb0734,tb0900
141,h0182,tb0147,tb0851
142,h0184,tb1075,tb0982
143,h0186,tb0667,tb0743
144,h0187,tb0532,tb1196
145,h0188,tb0635,tb0217
146,h0189,tb0104,tb0077
147,h0190,tb1165,tb1066
148,h0192,tb0595,tb0336
149,h0193,tb0930,tb0799
150,h0194,tb0849,tb0349
151,h0195,tb0752,tb0280
152,h0196,tb0369,tb0586
153,h0198,tb0831,tb0009
154,h0199,tb1114,tb0250
155,h0201,tb0289,tb0567
156,h0202,tb1029,tb0897
157,h0203,tb0420,tb1156
158,h0204,tb0238,tb0192
159,h0208,tb0405,tb0043
160,h0210,tb0903,tb0003
161,h0212,tb0497,tb0676
162,h0213,tb0623,tb1015
163,h0214,tb0472,tb0408
164,h0216,tb0413,tb0542
165,h0217,tb0442,tb0326
166,h0218,tb0750,tb0059
167,h0219,tb0193,tb1139
168,h0221,tb0569,tb0085
169,h0223,tb0032,tb1020
170,h0224,tb1019,tb0460
171,h0225,tb0049,tb0371
172,h0227,tb0643,tb0575
173,h0230,tb0784,tb0919
174,h0231,tb0019,tb0853
175,h0232,tb0888,tb0984
176,h0233,tb0786,tb0645
177,h0234,tb1086,tb0028
178,h0235,tb0759,tb0668
179,h0236,tb0813,tb0876
180,h0237,tb0538,tb0083
181,h0238,tb0096,tb0275
182,h0239,tb1092,tb1041
183,h0241,tb1175,tb0418
184,h0242,tb0816,tb0239
185,h0243,tb0269,tb0286
186,h0244,tb0505,tb0974
187,h0245,tb1031,tb0860
188,h0246,tb0642,tb0479
189,h0247,tb0040,tb0151
190,h0248,tb0145,tb0333
191,h0249,tb0790,tb0397
192,h0250,tb0499,tb0316
193,h0251,tb0068,tb0742
194,h0252,tb0881,tb0961
195,h0254,tb0955,tb0721
196,h0255,tb1166,tb1045
197,h0258,tb0017,tb0777
198,h0259,tb0999,tb0739
199,h0261,tb0255,tb0167
200,h0262,,
201,h0263,,
202,h0264,,
203,h0265,,
204,h0267,,
205,h0268,,
206,h0269,,
207,h0270,,
208,h0272,,
209,h0273,,
210,h0276,,
211,h0277,,
212,h0278,,
213,h0279,,
214,h0281,,
215,h0282,,
216,h0283,,
217,h0284,,
218,h0285,,
219,h0286,,
220,h0287,,
221,h0288,,
222,h0289,,
223,h0290,,
224,h0291,,
225,h0292,,
226,h0293,,
227,h0294,,
228,h0295,,
229,h0297,,
230,h0298,,
231,h0299,,
232,h0301,,
233,h0302,,
234,h0303,,
235,h0304,,
236,h0305,,
237,h0306,,
238,h0307,,
239,h0310,,
240,h0311,,
241,h0312,,
242,h0313,,
243,h0314,,
244,h0315,,
245,h0316,,
246,h0317,,
247,h0318,,
248,h0319,,
249,h0320,,
250,h0322,,
251,h0323,,
252,h0325,,
253,h0326,,
254,h0327,,
255,h0328,,
256,h0329,,
257,h0330,,
258,h0331,,
259,h0332,,
260,h0333,,
261,h0334,,
262,h0335,,
263,h0338,,
264,h0340,,
265,h0341,,
266,h0343,,
267,h0345,,
268,h0346,,
269,h0347,,
270,h0349,,
271,h0350,,
272,h0351,,
273,h0353,,
274,h0354,,
275,h0355,,
276,h0356,,
277,h0357,,
278,h0358,,
279,h0359,,
280,h0362,,
281,h0363,,
282,h0364,,
283,h0366,,
284,h0368,,
285,h0369,,
286,h0370,,
287,h0371,,
288,h0372,,
289,h0374,,
290,h0375,,
291,h0376,,
292,h0377,,
293,h0378,,
294,h0379,,
295,h0381,,
296,h0382,,
297,h0383,,
298,h0385,,
299,h0386,,
300,h0387,,
301,h0388,,
302,h0389,,
303,h0392,,
304,h0393,,
305,h0395,,
306,h0396,,
307,h0397,,
308,h0399,,
309,h0401,,
310,h0402,,
311,h0405,,
312,h0406,,
313,h0407,,
314,h0408,,
315,h0409,,
316,h0412,,
317,h0413,,
318,h0414,,
319,h0415,,
320,h0416,,
321,h0419,,
322,h0420,,
323,h0421,,
324,h0422,,
325,h0423,,
326,h0424,,
327,h0425,,
328,h0426,,
329,h0427,,
330,h0428,,
331,h0429,,
332,h0430,,
333,h0432,,
334,h0433,,
335,h0434,,
336,h0435,,
337,h0436,,
338,h0438,,
339,h0439,,
340,h0440,,
341,h0443,,
342,h0444,,
343,h0445,,
344,h0446,,
345,h0447,,
346,h0449,,
347,h0450,,
348,h0451,,
349,h0453,,
350,h0454,,
351,h0455,,
352,h0457,,
353,h0458,,
354,h0460,,
355,h0462,,
356,h0464,,
357,h0466,,
358,h0467,,
359,h0468,,
360,h0471,,
361,h0472,,
362,h0473,,
363,h0474,,
364,h0475,,
365,h0476,,
366,h0477,,
367,h0478,,
368,h0479,,
369,h0480,,
370,h0481,,
371,h0482,,
372,h0483,,
373,h0485,,
374,h0487,,
375,h0489,,
376,h0490,,
377,h0492,,
378,h0494,,
379,h0495,,
380,h0496,,
381,h0498,,
382,h0500,,
383,h0501,,
384,h0503,,
385,h0504,,
386,h0507,,
387,h0508,,
388,h0510,,
389,h0511,,
390,h0512,,
391,h0515,,
392,h0517,,
393,h0518,,
394,h0519,,
395,h0520,,
396,h0521,,
397,h0523,,
398,h0524,,
399,h0527,,
400,h0528,,
401,h0529,,
402,h0530,,
403,h0533,,
404,h0534,,
405,h0535,,
406,h0538,,
407,h0541,,
408,h0542,,
409,h0544,,
410,h0546,,
411,h0548,,
412,h0549,,
413,h0550,,
414,h0551,,
415,h0552,,
416,h0553,,
417,h0554,,
418,h0555,,
419,h0556,,
420,h0557,,
421,h0559,,
422,h0561,,
423,h0564,,
424,h0567,,
425,h0569,,
426,h0570,,
427,h0571,,
428,h0572,,
429,h0575,,
430,h0577,,
431,h0578,,
432,h0581,,
433,h0582,,
434,h0583,,
435,h0584,,
436,h0585,,
437,h0586,,
438,h0588,,
439,h0589,,
440,h0590,,
441,h0592,,
442,h0593,,
443,h0596,,
444,h0597,,
445,h0598,,
446,h0599,,
447,h0600,,
448,h0603,,
449,h0605,,
450,h0606,,
451,h0607,,
452,h0609,,
453,h0610,,
454,h0614,,
455,h0615,,
456,h0616,,
457,h0617,,
458,h0618,,
459,h0619,,
460,h0621,,
461,h0623,,
462,h0625,,
463,h0629,,
464,h0632,,
465,h0634,,
466,h0635,,
467,h0636,,
468,h0638,,
469,h0639,,
470,h0640,,
471,h0641,,
472,h0642,,
473,h0643,,
474,h0644,,
475,h0645,,
476,h0646,,
477,h0648,,
478,h0649,,
479,h0651,,
480,h0652,,
481,h0654,,
482,h0656,,
483,h0657,,
484,h0658,,
485,h0659,,
486,h0661,,
487,h0662,,
488,h0665,,
489,h0667,,
490,h0668,,
491,h0669,,
492,h0673,,
493,h0674,,
494,h0675,,
495,h0677,,
496,h0678,,
497,h0679,,
498,h0680,,
499,h0681,,
500,h0682,,
501,h0684,,
502,h0685,,
503,h0686,,
504,h0687,,
505,h0688,,
506,h0689,,
507,h0690,,
508,h0691,,
509,h0692,,
510,h0693,,
511,h0694,,
512,h0695,,
513,h0697,,
514,h0698,,
515,h0700,,
516,h0701,,
517,h0702,,
518,h0704,,
519,h0707,,
520,h0709,,
521,h0710,,
522,h0711,,
523,h0712,,
524,h0713,,
525,h0714,,
526,h0715,,
527,h0716,,
528,h0717,,
529,h0719,,
530,h0722,,
531,h0723,,
532,h0726,,
533,h0727,,
534,h0728,,
535,h0729,,
536,h0730,,
537,h0732,,
538,h0734,,
539,h0737,,
540,h0738,,
541,h0739,,
542,h0741,,
543,h0742,,
544,h0743,,
545,h0744,,
546,h0745,,
547,h0746,,
548,h0748,,
549,h0749,,
550,h0750,,
551,h0751,,
552,h0753,,
553,h0756,,
554,h0758,,
555,h0759,,
556,h0760,,
557,h0762,,
558,h0763,,
559,h0764,,
560,h0766,,
561,h0767,,
562,h0769,,
563,h0770,,
564,h0771,,
565,h0772,,
566,h0775,,
567,h0776,,
568,h0778,,
569,h0779,,
570,h0780,,
571,h0781,,
572,h0782,,
573,h0783,,
574,h0786,,
575,h0787,,
576,h0788,,
577,h0790,,
578,h0791,,
579,h0794,,
580,h0795,,
581,h0796,,
582,h0799,,
583,h0801,,
584,h0802,,
585,h0804,,
586,h0805,,
587,h0806,,
588,h0807,,
589,h0808,,
590,h0810,,
591,h0811,,
592,h0812,,
593,h0813,,
594,h0814,,
595,h0817,,
596,h0818,,
597,h0819,,
598,h0821,,
599,h0823,,
600,h0825,,
601,h0827,,
602,h0828,,
603,h0831,,
604,h0832,,
605,h0834,,
606,h0835,,
607,h0836,,
608,h0837,,
609,h0838,,
610,h0839,,
611,h0840,,
612,h0841,,
613,h0842,,
614,h0843,,
615,h0845,,
616,h0846,,
617,h0847,,
618,h0849,,
619,h0850,,
620,h0851,,
621,h0852,,
622,h0853,,
623,h0854,,
624,h0856,,
625,h0857,,
626,h0858,,
627,h0859,,
628,h0860,,
629,h0862,,
630,h0863,,
631,h0864,,
632,h0865,,
633,h0867,,
634,h0868,,
635,h0870,,
636,h0871,,
637,h0872,,
638,h0873,,
639,h0874,,
640,h0875,,
641,h0876,,
642,h0877,,
643,h0878,,
644,h0880,,
645,h0883,,
646,h0884,,
647,h0887,,
648,h0888,,
649,h0889,,
650,h0890,,
651,h0891,,
652,h0892,,
653,h0896,,
654,h0897,,
655,h0898,,
656,h0902,,
657,h0903,,
658,h0904,,
659,h0905,,
660,h0906,,
661,h0908,,
662,h0909,,
663,h0910,,
664,h0911,,
665,h0912,,
666,h0913,,
