,train,val,test
0,h0001,h4204,h1339
1,h0003,h2821,h0686
2,h0004,h1192,h3675
3,h0005,h1334,h4819
4,h0006,h1350,h2819
5,h0008,h0133,h1006
6,h0009,h4279,h4117
7,h0010,h1386,h1706
8,h0012,h1009,h1658
9,h0013,h3618,h2923
10,h0016,h2186,h4252
11,h0017,h0478,h4866
12,h0018,h4392,h3868
13,h0019,h2174,h2364
14,h0020,h1452,h4044
15,h0021,h0701,h1145
16,h0022,h0117,h1908
17,h0025,h4820,h3156
18,h0027,h0210,h0487
19,h0028,h0454,h1295
20,h0030,h4852,h0632
21,h0031,h4985,h1238
22,h0032,h0982,h3563
23,h0033,h0890,h0135
24,h0034,h0629,h0426
25,h0035,h1052,h3347
26,h0036,h0794,h1189
27,h0038,h2590,h0129
28,h0039,h3782,h0810
29,h0040,h3993,h2855
30,h0041,h1445,h4484
31,h0042,h1604,h2907
32,h0043,h3437,h1770
33,h0044,h0026,h4115
34,h0045,h4769,h1805
35,h0046,h1677,h2926
36,h0048,h1775,h2848
37,h0049,h4663,h1313
38,h0050,h3924,h4433
39,h0051,h2920,h0685
40,h0053,h0125,h4522
41,h0054,h3639,h4158
42,h0055,h0198,h0935
43,h0056,h4763,h4203
44,h0057,h3168,h2890
45,h0060,h1243,h0553
46,h0061,h4862,h3992
47,h0062,h2768,h3245
48,h0063,h0412,h4445
49,h0064,h4988,h1910
50,h0066,h3870,h1934
51,h0067,h3476,h1262
52,h0069,h2183,h3093
53,h0070,h3113,h3207
54,h0071,h2482,h0610
55,h0072,h0023,h2242
56,h0073,h0121,h2296
57,h0074,h4596,h1739
58,h0075,h1818,h0878
59,h0076,h2027,h0213
60,h0078,h4154,h2872
61,h0079,h0952,h3712
62,h0080,h2815,h0495
63,h0081,h3517,h4572
64,h0082,h0243,h4779
65,h0083,h3996,h4033
66,h0084,h2071,h4675
67,h0085,h3640,h3706
68,h0087,h3135,h2433
69,h0088,h3280,h3594
70,h0090,h2779,h1799
71,h0091,h2849,h4173
72,h0093,h0868,h1580
73,h0094,h1970,h0501
74,h0095,h3068,h4294
75,h0096,h3513,h1125
76,h0097,h4157,h1603
77,h0100,h0250,h0393
78,h0101,h0970,h0245
79,h0102,h0872,h4868
80,h0103,h0098,h1581
81,h0104,h4641,h3850
82,h0105,h3553,h3977
83,h0107,h2626,h0417
84,h0108,h2353,h0584
85,h0111,h2317,h4313
86,h0112,h2368,h4789
87,h0113,h3159,h4061
88,h0114,h1608,h4350
89,h0115,h4259,h2827
90,h0116,h1486,h4188
91,h0118,h1826,h0385
92,h0119,h3428,h0219
93,h0120,h3919,h2880
94,h0122,h4523,h2953
95,h0123,h1930,h3625
96,h0124,h4324,h2543
97,h0126,h1424,h4212
98,h0127,h3431,h2962
99,h0131,h2288,h3418
100,h0132,tb0541,tb0298
101,h0134,tb0053,tb0523
102,h0137,tb0137,tb1022
103,h0138,tb0469,tb1143
104,h0140,tb0279,tb1013
105,h0141,tb0429,tb0765
106,h0142,tb1141,tb0033
107,h0143,tb1175,tb1123
108,h0144,tb0205,tb0107
109,h0145,tb0897,tb0554
110,h0146,tb0795,tb0887
111,h0147,tb0019,tb0619
112,h0149,tb0262,tb0354
113,h0150,tb0191,tb0168
114,h0152,tb0594,tb1186
115,h0153,tb0899,tb1161
116,h0154,tb0021,tb1106
117,h0155,tb0692,tb0378
118,h0156,tb0503,tb0003
119,h0157,tb1093,tb0998
120,h0158,tb0098,tb0319
